ho,newx,newy,pixelx,pixely,xoff,yoff,pitch,roll
63.2463974008,2865.13613302,1202.43026378,2876.34135452,1175.37398826,929.136133023,93.5697362236,62.62,-0.54
63.0046065268,1964.69781496,1238.54840263,1976.28342792,1219.97682858,28.6978149551,57.4515973686,62.62,-0.54
64.3529252078,1750.60598299,1037.13980299,1760.30290116,1020.59491218,-185.394017013,258.860197014,62.62,-0.54
63.0219135901,2883.93889781,1235.96311517,2895.45931922,1208.7281411,947.938897811,60.0368848331,62.62,-0.54
62.7617004516,1983.69799453,1274.83312756,1995.62473406,1256.08087217,47.6979945286,21.166872444,62.62,-0.54
64.1050203355,1769.03221792,1074.17123619,1779.07732561,1057.45104011,-166.967782076,221.82876381,62.62,-0.54
62.9403658984,2890.88525727,1248.1445131,2902.52017545,1220.84353109,954.885257275,47.8554869002,62.62,-0.54
62.6735131377,1990.64361852,1288.00633628,2002.6942023,1269.18803584,54.6436185219,7.99366371654,62.62,-0.54
64.0152169156,1775.76729446,1087.58585494,1785.93853095,1070.80158741,-160.232705536,208.414145064,62.62,-0.54
62.9954297743,2886.30116573,1239.91920384,2897.85876693,1212.66179055,950.301165731,56.0807961597,62.62,-0.54
62.7328904295,1986.0657548,1279.13669933,1998.03294877,1260.36193753,50.0657547954,16.8633006712,62.62,-0.54
64.0756079529,1771.33367396,1078.56478712,1781.42008706,1061.82270551,-164.666326037,217.435212883,62.62,-0.54
63.0494416174,2881.60428686,1231.85104471,2893.08605719,1204.63825613,945.604286865,64.1489552896,62.62,-0.54
62.7914673309,1981.34227102,1270.38662277,1993.22720848,1251.65676671,45.3422710236,25.6133772314,62.62,-0.54
64.1353258301,1766.74573105,1069.64427433,1776.7482753,1052.94582862,-169.254268954,226.355725665,62.62,-0.54
62.5184489443,2928.07641041,1311.16945231,2940.30366408,1283.51515801,992.076410408,-15.169452306,62.62,-0.54
62.2153484616,2027.63285375,1356.44587295,2040.32681262,1337.27592275,91.6328537483,-60.4458729531,62.62,-0.54
63.5480833998,1811.6211317,1157.36513529,1822.4484203,1140.23985922,-124.378868303,138.634864707,62.62,-0.54
62.5690556268,2923.49956557,1303.60994786,2935.65577692,1275.99912441,987.49956557,-7.60994786066,62.62,-0.54
62.2705486465,2023.09642499,1348.20020219,2035.71287287,1329.0733724,87.0964249878,-52.2002021879,62.62,-0.54
63.6044157308,1807.209198,1148.95034727,1817.95737621,1131.8670258,-128.790802002,147.049652733,62.62,-0.54
63.3015668068,2860.4022,1194.18919068,2871.52996261,1167.17789678,924.402199995,101.810809317,62.62,-0.54
63.0643073868,1960.04994652,1229.63043185,1971.55171726,1211.10305835,24.0499465175,66.3695681508,62.62,-0.54
64.4137487356,1746.12800131,1028.05413078,1755.73948919,1011.55184686,-189.871998687,267.945869216,62.62,-0.54
62.8035942419,2903.13683111,1268.57513399,2914.96375637,1241.15777794,967.136831108,27.4248660108,62.62,-0.54
